0,0,13566158,RoboCop 2
0,0,20076340,Young Guns II
0,1,73380675,Gremlins 2: The New Batch
0,1,54756100,Rocky V
0,0,43826229,Darkman
0,0,46078846,Air America
0,0,6101645,Child's Play 2
0,0,4838933,Memphis Belle
0,0,2091534,House Party
0,0,23470044,Jacob's Ladder
0,0,4626929,Lionheart
0,0,5227710,The First Power
0,1,7353211,Quigley Down Under
0,0,42152172,The Neverending Story II: The Next Chapter
1,0,140538153,Teenage Mutant Ninja Turtles
1,1,65896984,The Hunt for Red October
0,0,5323121,Tremors
0,0,40949476,Tales from the Darkside: The Movie
0,0,23673570,Mo' Better Blues
0,1,77076177,The Bonfire of the Vanities
0,0,25123011,Mr. Destiny
0,0,23088025,Spaced Invaders
0,0,5467632,Quick Change
0,0,31900412,Wild at Heart
0,0,4339232,Graveyard Shift
0,0,19361451,The Two Jakes
0,1,122706328,Havana
0,1,47081496,Almost an Angel
0,0,11433770,Cry-Baby
1,0,89218494,Total Recall
1,0,51459394,Die Hard 2
0,0,1636233,Night of the Living Dead
0,0,39488630,Stanley & Iris
0,0,16299332,Hardware
0,0,30397774,Miller's Crossing
0,0,5962860,Dark Angel
1,0,27555726,Dick Tracy
0,0,10132838,Metropolitan
0,0,41391976,Class of 1999
0,0,4419142,Club Fed
0,0,33836338,White Hunter Black Heart
0,0,57041276,The Sheltering Sky
0,0,19450163,Dreams
0,0,5212139,Brain Dead
0,0,4376090,Slumber Party Massacre III
1,0,42023093,Kindergarten Cop
1,1,22434074,Back to the Future Part III
0,0,30945821,Meet the Applegates
1,1,76973364,Days of Thunder
1,1,13688182,Another 48 Hrs.
1,0,22833161,Bird on a Wire
0,0,9513893,The Godfather: Part III
1,0,250396073,Beauty and the Beast
1,0,142297982,Terminator 2: Judgment Day
0,0,2556259,What About Bob?
0,1,65561713,My Girl
0,0,19687861,The Last Boy Scout
0,0,48457940,Boyz n the Hood
0,0,26583168,Bugsy
0,0,40914899,New Jack City
0,1,98461272,The Rocketeer
0,0,31356070,Thelma & Louise
0,0,23330424,Point Break
0,0,18745551,The Fisher King
0,0,49144093,Out for Justice
0,0,12753043,Bill & Ted's Bogus Journey
0,0,11301041,Dead Again
0,0,33729813,The Doors
0,0,34475449,Freddy's Dead: The Final Nightmare
0,1,4858411,White Fang
0,1,73262364,Curly Sue
1,1,107173251,Robin Hood: Prince of Thieves
0,0,34464028,Jungle Fever
0,0,1523759,Double Impact
0,0,44813110,Problem Child 2
0,0,3561223,Little Man Tate
0,0,28307569,The People Under the Stairs
0,1,69568592,Oscar
0,0,6465656,Pure Luck
0,0,42615033,F/X2
0,0,22702688,Mobsters
0,0,3185861,House Party 2
0,0,3136687,Mortal Thoughts
0,0,52004918,For the Boys
0,0,91756846,Hudson Hawk
1,0,143124514,The Silence of the Lambs
1,1,73422370,City Slickers
0,0,92421639,Billy Bathgate
0,0,33509538,Highlander II: The Quickening
0,0,4476284,Child's Play 3
0,1,70055500,Flight of the Intruder
0,0,45563191,The Marrying Man
0,0,34950231,Rock-A-Doodle
0,0,34063499,The Super
0,0,57847816,Scenes from a Mall
0,0,36737423,Stone Cold
0,0,6141398,Body Parts
0,0,32458985,Bingo
0,0,23991203,Nothing But Trouble
1,1,16287260,Hook
1,0,83515565,The Addams Family
0,0,54750563,Harley Davidson and the Marlboro Man
0,0,3082030,My Own Private Idaho
0,0,27871208,Rambling Rose
0,0,4579048,Barton Fink
0,0,36994288,Delirious
0,0,57892262,Eve of Destruction
0,0,33456455,True Identity
0,0,78003309,Dutch
0,0,78056661,Run
0,0,47339782,Life Stinks
0,0,48236682,Mannequin: On the Move
1,0,91700438,Sleeping with the Enemy
0,0,56968938,Another You
0,0,8719589,Return to the Blue Lagoon
0,0,20344196,California Casanova
0,0,17273891,Straight Out of Brooklyn
0,0,6243221,Naked Lunch
0,0,18536243,Showdown in Little Tokyo
0,0,5653075,Prospero's Books
0,1,138763576,At Play in the Fields of the Lord
0,0,27500802,City of Hope
0,0,25211822,Slacker
0,0,20761680,Cool as Ice
0,0,47232189,Kafka
1,0,35273375,The Naked Gun 2: The Smell of Fear
0,0,71181643,The Taking of Beverly Hills
0,0,16150833,Beastmaster 2: Through the Portal of Time
0,0,64807802,Until the End of the World
